cover_id,member_name,top_1_choice,top_2_choice,top_3_choice,assigned_role,total_covers,total_got_1,total_got_2,total_got_3,total_got_none
22,thy,jihoon,kyungmin,youngjae,jihoon,10,5,0,1,4

#shhh
23,eldora,,,,backup1,17,10,2,0,5
23,kelly,,,,backup2,10,4,2,1,3
23,jorryn,umji,eunha,shinb,umji,5,3,1,0,1
23,thy,shinb,umji,eunha,shinb,11,6,0,1,4
23,melissa,,,,eunha,1,0,0,0,1

#criminallove
24,eldora,jake,sunoo,heeseung,sunoo,18,10,2,0,6
24,diana,jungwon,jake,niki,jake,13,9,2,2,0
24,jess,sunghoon,heeseung,niki,sunghoon,12,6,2,0,4
24,jaimee,niki,jungwon,sunghoon,niki,10,6,1,1,2
24,kelly,jungwon,niki,sunghoon,jay,11,4,2,1,4
24,melissa,jungwon,sunghoon,heeseung,jungwon,2,0,0,0,2
24,sean,heeseung,jungwon,niki,heeseung,11,7,1,2,1

#armageddon
25,thy,,,,backup1,12,7,0,1,4
25,miranda,,,,backup2,3,3,0,0,0
25,sean,,,,backup4,12,8,1,2,1
25,jaimee,,,,backup5,11,7,1,1,2
25,zoe,,,,backup6,8,2,2,3,1
25,trusha,,,,backup7,9,2,2,0,4
25,eldora,karina,giselle,winter,giselle,19,10,3,0,6
25,diana,winter,karina,giselle,winter,14,9,3,2,0
25,rhonda,ningning,,,karina,3,1,1,0,1
25,eilene,winter,ningning,karina,ningning,7,5,1,1,0

#lastfestival
26,sean,shinyu,jihoon,dohoon,shinyu,13,8,1,2,2
26,trusha,jihoon,kyungmin,dohoon,kyungmin,10,2,2,0,5
26,kelly,jihoon,dohoon,shinyu,jihoon,12,4,2,1,5
26,karen,dohoon,kyungmin,shinyu,dohoon,0,0,0,0,0
26,jaimee,youngjae,dohoon,kyungmin,youngjae,12,7,1,1,3
26,melissa,dohoon,jihoon,shinyu,hanjin,3,1,0,0,2

#igloo
27,diana,julie,natty,haneul,julie,15,10,3,2,0
27,eldora,julie,natty,haneul,natty,20,10,4,0,6
27,jaimee,belle,,,belle,13,8,1,1,3
27,jess,,,,haneul,13,7,2,0,4

#hot
28,eldora,chaewon,sakura,kazuha,chaewon,21,10,5,0,6
28,jaimee,eunchae,,,eunchae,14,9,1,1,3
28,zoe,yunjin,kazuha,eunchae,yunjin,9,2,2,3,2
28,jorryn,kazuha,yunjin,sakura,kazuha,6,4,1,0,1
28,thy,,,,sakura,13,7,0,1,5

#lovesong - missing

#snap - ignore

#whiplash
